Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
510,2013-11-15,WSH,@,DET,W,SO,Alex Ovechkin,28-059,386,Marcus Johansson,Nicklas Bäckström,Jimmy Howard,3,03:19,EV,,Joe Louis Arena
511,2013-11-12,WSH,,CBJ,W,OT,Alex Ovechkin,28-056,385,Marcus Johansson,John Carlson,Sergei Bobrovsky,OT,01:34,EV,,Verizon Center
512,2013-11-07,WSH,,MIN,W,SO,Alex Ovechkin,28-051,384,Nicklas Bäckström,Marcus Johansson,Josh Harding,1,08:10,PP,,Verizon Center
513,2013-11-05,WSH,,NYI,W,,Alex Ovechkin,28-049,382,Nicklas Bäckström,,Evgeni Nabokov,2,04:21,PP,,Verizon Center
514,2013-11-05,WSH,,NYI,W,,Alex Ovechkin,28-049,383,Marcus Johansson,Nicklas Bäckström,Evgeni Nabokov,2,17:18,PP,,Verizon Center
515,2013-10-24,WSH,@,EDM,W,,Alex Ovechkin,28-037,381,Marcus Johansson,Nicklas Bäckström,Devan Dubnyk,1,18:13,EV,,Rexall Place
516,2013-10-22,WSH,@,WPG,W,SO,Alex Ovechkin,28-035,379,Marcus Johansson,,Ondřej Pavelec,2,15:50,EV,,MTS Centre
517,2013-10-22,WSH,@,WPG,W,SO,Alex Ovechkin,28-035,380,Marcus Johansson,,Ondřej Pavelec,2,18:02,EV,,MTS Centre
518,2013-10-19,WSH,,CBJ,W,,Alex Ovechkin,28-032,378,Mike Green,Martin Erat,Sergei Bobrovsky,3,06:34,PP,,Verizon Center
519,2013-10-14,WSH,,EDM,W,,Alex Ovechkin,28-027,377,Marcus Johansson,Nicklas Bäckström,Jason LaBarbera,2,13:18,EV,,Verizon Center
520,2013-10-10,WSH,,CAR,L,,Alex Ovechkin,28-023,376,Steven Oleksy,Nicklas Bäckström,Anton Khudobin,2,13:52,EV,,Verizon Center
521,2013-10-05,WSH,@,DAL,L,,Alex Ovechkin,28-018,375,Mike Green,Marcus Johansson,Kari Lehtonen,1,04:26,PP,,American Airlines Center
522,2013-10-03,WSH,,CGY,W,SO,Alex Ovechkin,28-016,374,Marcus Johansson,Nicklas Bäckström,Karri Rämö,2,15:25,EV,,Verizon Center
523,2013-10-03,WSH,,CGY,W,SO,Alex Ovechkin,28-016,373,Mike Green,Marcus Johansson,Karri Rämö,2,11:24,PP,,Verizon Center
524,2013-10-01,WSH,@,CHI,L,,Alex Ovechkin,28-014,372,Mikhail Grabovski,Nicklas Bäckström,Corey Crawford,1,10:42,PP,,United Center
525,2013-04-25,WSH,,OTT,L,OT,Alex Ovechkin,27-220,371,Marcus Johansson,Mike Green,Craig Anderson,3,08:31,EV,,Verizon Center
526,2013-04-23,WSH,,WPG,W,,Alex Ovechkin,27-218,370,Nicklas Bäckström,Marcus Johansson,,3,19:31,EV,EN,Verizon Center
527,2013-04-20,WSH,@,MTL,W,,Alex Ovechkin,27-215,368,Nicklas Bäckström,,Carey Price,1,04:49,EV,,Bell Centre
528,2013-04-20,WSH,@,MTL,W,,Alex Ovechkin,27-215,369,Mike Green,Mike Ribeiro,Carey Price,3,13:23,PP,,Bell Centre
529,2013-04-16,WSH,,TOR,W,,Alex Ovechkin,27-211,367,Mike Green,Mike Ribeiro,Ben Scrivens,2,13:59,PP,,Verizon Center
530,2013-04-13,WSH,,TBL,W,OT,Alex Ovechkin,27-208,366,Nicklas Bäckström,,Ben Bishop,1,19:22,EV,,Verizon Center
531,2013-04-09,WSH,@,MTL,W,,Alex Ovechkin,27-204,365,John Carlson,Nicklas Bäckström,Carey Price,2,07:50,EV,,Bell Centre
532,2013-04-07,WSH,,TBL,W,,Alex Ovechkin,27-202,363,Jack Hillen,Nicklas Bäckström,Ben Bishop,2,03:14,EV,,Verizon Center
533,2013-04-07,WSH,,TBL,W,,Alex Ovechkin,27-202,364,Mike Ribeiro,,,3,19:55,EV,EN,Verizon Center
534,2013-04-06,WSH,@,FLA,W,,Alex Ovechkin,27-201,361,Nicklas Bäckström,Marcus Johansson,Jacob Markström,2,02:24,EV,,BB&T Center
535,2013-04-06,WSH,@,FLA,W,,Alex Ovechkin,27-201,360,Mike Ribeiro,Nicklas Bäckström,Jacob Markström,1,15:45,PP,,BB&T Center
536,2013-04-06,WSH,@,FLA,W,,Alex Ovechkin,27-201,362,Marcus Johansson,Nicklas Bäckström,Jacob Markström,2,14:22,PP,,BB&T Center
537,2013-04-02,WSH,@,CAR,W,,Alex Ovechkin,27-197,358,Nicklas Bäckström,John Carlson,Dan Ellis,1,19:21,EV,,PNC Arena
538,2013-04-02,WSH,@,CAR,W,,Alex Ovechkin,27-197,359,Nicklas Bäckström,Marcus Johansson,Justin Peters,2,11:06,EV,,PNC Arena
539,2013-03-31,WSH,@,PHI,L,OT,Alex Ovechkin,27-195,357,John Carlson,Troy Brouwer,Ilya Bryzgalov,3,06:48,PP,,Wells Fargo Center
540,2013-03-30,WSH,@,BUF,W,SO,Alex Ovechkin,27-194,356,Mike Green,Brooks Laich,Jhonas Enroth,2,02:21,PP,,First Niagara Center
541,2013-03-24,WSH,@,NYR,W,SO,Alex Ovechkin,27-188,355,Steven Oleksy,Nicklas Bäckström,Henrik Lundqvist,1,09:45,EV,,Madison Square Garden (IV)
542,2013-03-22,WSH,@,WPG,W,,Alex Ovechkin,27-186,353,Marcus Johansson,Karl Alzner,Al Montoya,2,07:35,EV,,MTS Centre
543,2013-03-22,WSH,@,WPG,W,,Alex Ovechkin,27-186,354,John Carlson,Nicklas Bäckström,Al Montoya,3,15:58,PP,,MTS Centre
544,2013-03-21,WSH,@,WPG,W,,Alex Ovechkin,27-185,352,Nicklas Bäckström,John Carlson,Ondřej Pavelec,3,14:06,PP,,MTS Centre
545,2013-03-19,WSH,@,PIT,L,,Alex Ovechkin,27-183,351,Troy Brouwer,Mike Ribeiro,Marc-André Fleury,2,08:14,PP,,CONSOL Energy Center
546,2013-03-17,WSH,,BUF,W,,Alex Ovechkin,27-181,350,Marcus Johansson,Nicklas Bäckström,Ryan Miller,1,00:19,EV,,Verizon Center
547,2013-03-14,WSH,@,CAR,W,,Alex Ovechkin,27-178,349,Troy Brouwer,Nicklas Bäckström,Dan Ellis,3,01:01,PP,,PNC Arena
548,2013-03-07,WSH,,FLA,W,,Alex Ovechkin,27-171,348,Troy Brouwer,Mike Ribeiro,Scott Clemmensen,2,09:17,PP,,Verizon Center
549,2013-02-23,WSH,,NJD,W,,Alex Ovechkin,27-159,345,Mike Ribeiro,Jason Chimera,Johan Hedberg,2,05:20,EV,,Verizon Center
550,2013-02-23,WSH,,NJD,W,,Alex Ovechkin,27-159,346,Matt Hendricks,Jeff Schultz,Johan Hedberg,3,01:23,EV,,Verizon Center
551,2013-02-23,WSH,,NJD,W,,Alex Ovechkin,27-159,347,Mike Ribeiro,Nicklas Bäckström,Johan Hedberg,3,15:13,PP,,Verizon Center
552,2013-02-12,WSH,@,FLA,W,OT,Alex Ovechkin,27-148,344,Mike Ribeiro,Nicklas Bäckström,Scott Clemmensen,3,17:11,PP,,BB&T Center
553,2013-02-09,WSH,,FLA,W,,Alex Ovechkin,27-145,343,Jason Chimera,Mike Ribeiro,José Théodore,3,03:49,EV,,Verizon Center
554,2013-02-07,WSH,@,PIT,L,,Alex Ovechkin,27-143,342,Mike Ribeiro,Mike Green,Marc-André Fleury,3,08:34,PP,,CONSOL Energy Center
555,2013-01-31,WSH,@,TOR,L,,Alex Ovechkin,27-136,341,Mike Ribeiro,Nicklas Bäckström,James Reimer,2,02:38,PP,,Air Canada Centre
556,2013-01-27,WSH,,BUF,W,,Alex Ovechkin,27-132,340,Mike Green,Mike Ribeiro,Ryan Miller,3,05:11,PP,,Verizon Center
557,2012-04-07,WSH,@,NYR,W,,Alex Ovechkin,26-203,339,Brooks Laich,,Henrik Lundqvist,1,00:32,EV,,Madison Square Garden (IV)
558,2012-04-05,WSH,,FLA,W,,Alex Ovechkin,26-201,338,Marcus Johansson,,José Théodore,2,07:49,EV,,Verizon Center
559,2012-03-25,WSH,,MIN,W,,Alex Ovechkin,26-190,337,Marcus Johansson,John Carlson,Matt Hackett,3,08:31,EV,,Verizon Center
560,2012-03-23,WSH,,WPG,L,OT,Alex Ovechkin,26-188,335,Brooks Laich,Mike Knuble,Ondřej Pavelec,2,01:42,EV,,Verizon Center
561,2012-03-23,WSH,,WPG,L,OT,Alex Ovechkin,26-188,336,Mathieu Perreault,Jason Chimera,Ondřej Pavelec,2,05:47,EV,,Verizon Center
562,2012-03-22,WSH,@,PHI,L,SO,Alex Ovechkin,26-187,334,,,Ilya Bryzgalov,1,00:26,EV,,Wells Fargo Center
563,2012-03-19,WSH,@,DET,W,,Alex Ovechkin,26-184,332,Marcus Johansson,Dennis Wideman,Jimmy Howard,1,07:48,PP,,Joe Louis Arena
564,2012-03-19,WSH,@,DET,W,,Alex Ovechkin,26-184,333,Brooks Laich,Alexander Semin,Jimmy Howard,1,14:51,PP,,Joe Louis Arena
565,2012-03-18,WSH,@,CHI,L,,Alex Ovechkin,26-183,331,Michal Neuvirth,Dmitry Orlov,Corey Crawford,2,14:28,EV,,United Center
566,2012-03-13,WSH,@,NYI,W,SO,Alex Ovechkin,26-178,329,Brooks Laich,Marcus Johansson,Evgeni Nabokov,2,19:07,EV,,Nassau Veterans Memorial Coliseum
567,2012-03-13,WSH,@,NYI,W,SO,Alex Ovechkin,26-178,330,Keith Aucoin,Joel Ward,Evgeni Nabokov,3,10:15,EV,,Nassau Veterans Memorial Coliseum
568,2012-03-08,WSH,,TBL,W,OT,Alex Ovechkin,26-173,328,Dmitry Orlov,Jason Chimera,Dustin Tokarski,OT,04:09,EV,,Verizon Center
569,2012-02-28,WSH,,NYI,W,OT,Alex Ovechkin,26-164,327,,,Evgeni Nabokov,OT,01:35,EV,,Verizon Center
570,2012-02-24,WSH,,MTL,W,,Alex Ovechkin,26-160,326,Dmitry Orlov,Marcus Johansson,Carey Price,2,08:58,EV,,Verizon Center
571,2012-02-17,WSH,@,FLA,W,,Alex Ovechkin,26-153,325,Alexander Semin,Mike Knuble,José Théodore,3,04:47,PP,,BankAtlantic Center
572,2012-02-09,WSH,,WPG,L,SO,Alex Ovechkin,26-145,324,Alexander Semin,Dennis Wideman,Ondřej Pavelec,3,09:46,PP,,Verizon Center
573,2012-02-07,WSH,,FLA,W,,Alex Ovechkin,26-143,323,,,Scott Clemmensen,2,11:47,EV,,Verizon Center
574,2012-02-07,WSH,,FLA,W,,Alex Ovechkin,26-143,322,Dennis Wideman,Marcus Johansson,Scott Clemmensen,1,09:21,PP,,Verizon Center
575,2012-01-22,WSH,@,PIT,L,OT,Alex Ovechkin,26-127,321,Alexander Semin,Mathieu Perreault,Marc-André Fleury,3,01:08,EV,,CONSOL Energy Center
576,2012-01-18,WSH,@,MTL,W,,Alex Ovechkin,26-123,320,Alexander Semin,Dennis Wideman,Carey Price,2,10:44,PP,,Bell Centre
577,2012-01-13,WSH,,TBL,W,,Alex Ovechkin,26-118,319,Marcus Johansson,Dennis Wideman,Dwayne Roloson,1,03:52,PP,,Verizon Center
578,2012-01-03,WSH,,CGY,W,,Alex Ovechkin,26-108,318,Marcus Johansson,Nicklas Bäckström,Miikka Kiprusoff,1,01:11,PP,,Verizon Center
579,2011-12-31,WSH,@,CBJ,W,,Alex Ovechkin,26-105,316,Dennis Wideman,,Steve Mason,3,04:23,EV,,Nationwide Arena
580,2011-12-31,WSH,@,CBJ,W,,Alex Ovechkin,26-105,317,Dmitry Orlov,Karl Alzner,Steve Mason,3,11:03,PP,,Nationwide Arena
581,2011-12-30,WSH,,BUF,W,,Alex Ovechkin,26-104,315,Nicklas Bäckström,Alexander Semin,Ryan Miller,3,14:10,EV,,Verizon Center
582,2011-12-30,WSH,,BUF,W,,Alex Ovechkin,26-104,314,Tomáš Vokoun,,Ryan Miller,1,01:42,PP,,Verizon Center
583,2011-12-26,WSH,@,BUF,L,,Alex Ovechkin,26-100,313,Nicklas Bäckström,Dennis Wideman,Ryan Miller,3,09:51,PP,,First Niagara Center
584,2011-12-20,WSH,,NSH,W,,Alex Ovechkin,26-094,312,Karl Alzner,John Carlson,Anders Lindbäck,1,07:42,EV,,Verizon Center
585,2011-12-15,WSH,@,WPG,W,,Alex Ovechkin,26-089,311,Marcus Johansson,Nicklas Bäckström,Ondřej Pavelec,3,18:46,EV,,MTS Centre
586,2011-12-07,WSH,@,OTT,W,,Alex Ovechkin,26-081,310,Nicklas Bäckström,Dmitry Orlov,Craig Anderson,3,13:50,EV,,Scotiabank Place
587,2011-11-25,WSH,,NYR,L,,Alex Ovechkin,26-069,309,Nicklas Bäckström,Troy Brouwer,Henrik Lundqvist,3,05:57,EV,,Verizon Center
588,2011-11-11,WSH,@,NJD,W,,Alex Ovechkin,26-055,308,Dennis Wideman,Nicklas Bäckström,Martin Brodeur,2,17:33,EV,,Prudential Center
589,2011-11-05,WSH,@,NYI,L,,Alex Ovechkin,26-049,307,Nicklas Bäckström,Jeff Schultz,Rick DiPietro,1,18:41,EV,,Nassau Veterans Memorial Coliseum
590,2011-10-29,WSH,@,VAN,L,,Alex Ovechkin,26-042,305,Troy Brouwer,Nicklas Bäckström,Roberto Luongo,1,08:55,EV,,Rogers Arena
591,2011-10-29,WSH,@,VAN,L,,Alex Ovechkin,26-042,306,Nicklas Bäckström,John Carlson,Roberto Luongo,2,01:25,PP,,Rogers Arena
592,2011-10-20,WSH,@,PHI,W,,Alex Ovechkin,26-033,303,Nicklas Bäckström,Troy Brouwer,Ilya Bryzgalov,1,19:48,EV,,Wells Fargo Center
593,2011-10-20,WSH,@,PHI,W,,Alex Ovechkin,26-033,304,Nicklas Bäckström,Dennis Wideman,Ilya Bryzgalov,3,03:54,PP,,Wells Fargo Center
594,2011-10-13,WSH,@,PIT,W,OT,Alex Ovechkin,26-026,302,Mike Green,Nicklas Bäckström,Brent Johnson,3,00:40,EV,,CONSOL Energy Center
595,2011-04-06,WSH,,FLA,W,,Alex Ovechkin,25-201,301,Nicklas Bäckström,,,3,19:48,EV,EN,Verizon Center
596,2011-04-05,WSH,@,TOR,W,SO,Alex Ovechkin,25-200,300,Brooks Laich,Marco Sturm,James Reimer,1,11:28,PP,,Air Canada Centre
597,2011-04-02,WSH,,BUF,W,OT,Alex Ovechkin,25-197,299,John Carlson,Nicklas Bäckström,Jhonas Enroth,OT,03:19,EV,,Verizon Center
598,2011-03-16,WSH,@,DET,L,,Alex Ovechkin,25-180,298,Alexander Semin,Scott Hannan,Jimmy Howard,2,05:53,EV,,Joe Louis Arena
599,2011-03-11,WSH,,CAR,W,,Alex Ovechkin,25-175,297,Marcus Johansson,Mike Knuble,Cam Ward,3,00:47,EV,,Verizon Center
600,2011-03-09,WSH,,EDM,W,,Alex Ovechkin,25-173,296,Marcus Johansson,,Nikolai Khabibulin,3,03:10,EV,,Verizon Center
601,2011-03-09,WSH,,EDM,W,,Alex Ovechkin,25-173,295,Jason Arnott,Alexander Semin,Nikolai Khabibulin,2,05:38,PP,,Verizon Center
602,2011-03-01,WSH,,NYI,W,OT,Alex Ovechkin,25-165,294,John Carlson,,Nathan Lawson,OT,01:55,EV,,Verizon Center
603,2011-02-21,WSH,@,PIT,W,,Alex Ovechkin,25-157,293,Marcus Johansson,Mike Knuble,Marc-André Fleury,2,16:38,PP,,CONSOL Energy Center
604,2011-02-17,WSH,@,SJS,L,,Alex Ovechkin,25-153,292,John Carlson,Alexander Semin,Antti Niemi,1,19:11,PP,,HP Pavilion at San Jose
605,2011-02-16,WSH,@,ANA,W,,Alex Ovechkin,25-152,291,Nicklas Bäckström,Karl Alzner,Curtis McElhinney,1,10:43,EV,,Honda Center
606,2011-02-12,WSH,,LAK,L,,Alex Ovechkin,25-148,290,,,Jonathan Bernier,1,01:06,EV,,Verizon Center
607,2011-02-04,WSH,@,TBL,W,,Alex Ovechkin,25-140,289,Nicklas Bäckström,John Carlson,Dwayne Roloson,2,08:25,PP,,St. Pete Times Forum
608,2011-01-22,WSH,@,TOR,W,,Alex Ovechkin,25-127,286,Jeff Schultz,Nicklas Bäckström,Jean-Sébastien Giguère,1,14:27,EV,,Air Canada Centre
609,2011-01-22,WSH,@,TOR,W,,Alex Ovechkin,25-127,287,Mike Green,Jason Chimera,Jean-Sébastien Giguère,3,01:12,EV,,Air Canada Centre
610,2011-01-22,WSH,@,TOR,W,,Alex Ovechkin,25-127,288,Nicklas Bäckström,John Carlson,,3,19:36,EV,EN,Air Canada Centre
611,2011-01-18,WSH,@,PHI,L,OT,Alex Ovechkin,25-123,285,Nicklas Bäckström,Jason Chimera,Sergei Bobrovsky,3,08:38,EV,,Wells Fargo Center
612,2011-01-08,WSH,,FLA,W,,Alex Ovechkin,25-113,284,Mike Knuble,Nicklas Bäckström,Scott Clemmensen,3,16:05,EV,,Verizon Center
613,2010-12-28,WSH,,MTL,W,,Alex Ovechkin,25-102,283,Karl Alzner,,,3,19:28,EV,EN,Verizon Center
614,2010-12-26,WSH,@,CAR,W,,Alex Ovechkin,25-100,282,Mike Green,,Cam Ward,2,18:02,EV,,RBC Center
615,2010-12-06,WSH,,TOR,L,SO,Alex Ovechkin,25-080,281,Tom Poti,Nicklas Bäckström,Jonas Gustavsson,2,13:50,EV,,Verizon Center
616,2010-12-04,WSH,,ATL,L,,Alex Ovechkin,25-078,280,Alexander Semin,John Carlson,Ondřej Pavelec,2,19:11,EV,,Verizon Center
617,2010-11-14,WSH,,ATL,W,,Alex Ovechkin,25-058,279,Nicklas Bäckström,Tyler Sloan,Chris Mason,1,01:30,EV,,Verizon Center
618,2010-11-11,WSH,,TBL,W,,Alex Ovechkin,25-055,278,Alexander Semin,Jeff Schultz,Dan Ellis,3,15:08,EV,,Verizon Center
619,2010-11-05,WSH,,BOS,W,,Alex Ovechkin,25-049,277,Nicklas Bäckström,Jeff Schultz,,3,19:08,EV,EN,Verizon Center
620,2010-10-30,WSH,@,CGY,W,,Alex Ovechkin,25-043,275,Mike Green,Nicklas Bäckström,Miikka Kiprusoff,2,03:43,PP,,Scotiabank Saddledome
621,2010-10-30,WSH,@,CGY,W,,Alex Ovechkin,25-043,276,Alexander Semin,Jason Chimera,Miikka Kiprusoff,2,03:55,PP,,Scotiabank Saddledome
622,2010-10-28,WSH,@,MIN,L,,Alex Ovechkin,25-041,274,Mike Green,,Niklas Bäckström,3,18:24,EV,,Xcel Energy Center
623,2010-10-13,WSH,,NYI,W,,Alex Ovechkin,25-026,273,Nicklas Bäckström,,Dwayne Roloson,2,18:19,EV,,Verizon Center
624,2010-10-11,WSH,,OTT,W,OT,Alex Ovechkin,25-024,272,John Carlson,Jeff Schultz,Pascal Leclaire,OT,04:28,EV,,Verizon Center
625,2010-10-09,WSH,,NJD,W,,Alex Ovechkin,25-022,270,Mike Knuble,John Carlson,Martin Brodeur,2,14:31,EV,,Verizon Center
626,2010-10-09,WSH,,NJD,W,,Alex Ovechkin,25-022,271,,,Martin Brodeur,2,19:12,EV,PS,Verizon Center
627,2010-04-09,WSH,,ATL,W,,Alex Ovechkin,24-204,268,Alexander Semin,,Ondřej Pavelec,2,16:04,EV,,Verizon Center
628,2010-04-09,WSH,,ATL,W,,Alex Ovechkin,24-204,269,Alexander Semin,Nicklas Bäckström,Ondřej Pavelec,3,09:49,EV,,Verizon Center
629,2010-04-06,WSH,@,PIT,W,,Alex Ovechkin,24-201,267,Nicklas Bäckström,,,3,19:59,EV,EN,Mellon Arena
630,2010-04-06,WSH,@,PIT,W,,Alex Ovechkin,24-201,266,Nicklas Bäckström,,Brent Johnson,3,02:37,PP,,Mellon Arena
631,2010-03-28,WSH,,CGY,L,,Alex Ovechkin,24-192,265,Mike Knuble,Nicklas Bäckström,Miikka Kiprusoff,2,03:49,PP,,Verizon Center
632,2010-03-20,WSH,@,TBL,W,,Alex Ovechkin,24-184,264,Nicklas Bäckström,,Antero Niittymäki,1,10:47,EV,,St. Pete Times Forum
633,2010-03-08,WSH,,DAL,L,SO,Alex Ovechkin,24-172,263,Nicklas Bäckström,Mike Green,Marty Turco,3,16:44,EV,,Verizon Center
634,2010-03-08,WSH,,DAL,L,SO,Alex Ovechkin,24-172,262,Alexander Semin,Nicklas Bäckström,Marty Turco,2,14:37,PP,,Verizon Center
635,2010-02-07,WSH,,PIT,W,OT,Alex Ovechkin,24-143,259,Jeff Schultz,,Marc-André Fleury,2,09:01,EV,,Verizon Center
636,2010-02-07,WSH,,PIT,W,OT,Alex Ovechkin,24-143,260,Tom Poti,Nicklas Bäckström,Marc-André Fleury,3,06:51,EV,,Verizon Center
637,2010-02-07,WSH,,PIT,W,OT,Alex Ovechkin,24-143,261,Mike Knuble,Nicklas Bäckström,Marc-André Fleury,3,11:06,EV,,Verizon Center
638,2010-02-05,WSH,,ATL,W,,Alex Ovechkin,24-141,258,Nicklas Bäckström,Alexander Semin,Ondřej Pavelec,1,13:41,PP,,Verizon Center
639,2010-02-04,WSH,@,NYR,W,,Alex Ovechkin,24-140,257,Nicklas Bäckström,,Henrik Lundqvist,2,19:51,EV,,Madison Square Garden (IV)
640,2010-02-04,WSH,@,NYR,W,,Alex Ovechkin,24-140,256,Nicklas Bäckström,,Henrik Lundqvist,2,07:16,PP,,Madison Square Garden (IV)
641,2010-02-02,WSH,@,BOS,W,,Alex Ovechkin,24-138,255,,,,3,19:28,EV,EN,TD Garden
642,2010-01-31,WSH,,TBL,W,,Alex Ovechkin,24-136,254,Nicklas Bäckström,Tom Poti,Mike Smith,3,13:34,EV,,Verizon Center
643,2010-01-27,WSH,,ANA,W,,Alex Ovechkin,24-132,253,Mike Knuble,Mike Green,Jean-Sébastien Giguère,1,00:36,EV,,Verizon Center
644,2010-01-23,WSH,,PHX,W,,Alex Ovechkin,24-128,252,Alexander Semin,,,3,19:54,EV,EN,Verizon Center
645,2010-01-21,WSH,@,PIT,W,,Alex Ovechkin,24-126,251,David Steckel,,,3,19:34,EV,EN,Mellon Arena
646,2010-01-21,WSH,@,PIT,W,,Alex Ovechkin,24-126,250,Brendan Morrison,Mike Knuble,Brent Johnson,2,16:25,PP,,Mellon Arena
647,2010-01-17,WSH,,PHI,W,,Alex Ovechkin,24-122,249,,,Ray Emery,3,15:48,EV,PS,Verizon Center
648,2010-01-15,WSH,,TOR,W,,Alex Ovechkin,24-120,248,Nicklas Bäckström,,Vesa Toskala,1,00:49,EV,,Verizon Center
649,2010-01-13,WSH,@,FLA,W,SO,Alex Ovechkin,24-118,247,,,Tomáš Vokoun,3,00:27,EV,,BankAtlantic Center
650,2010-01-07,WSH,,OTT,W,,Alex Ovechkin,24-112,246,Matt Bradley,Shaone Morrisonn,Pascal Leclaire,3,18:34,EV,,Verizon Center
651,2009-12-30,WSH,@,SJS,L,,Alex Ovechkin,24-104,245,Nicklas Bäckström,,Evgeni Nabokov,3,12:40,EV,,HP Pavilion at San Jose
652,2009-12-26,WSH,,NJD,W,,Alex Ovechkin,24-100,244,Nicklas Bäckström,,Martin Brodeur,1,04:09,EV,,Verizon Center
653,2009-12-23,WSH,,BUF,W,,Alex Ovechkin,24-097,243,Brooks Laich,Mike Green,Ryan Miller,3,12:10,PP,,Verizon Center
654,2009-12-19,WSH,@,EDM,W,,Alex Ovechkin,24-093,241,Mike Green,Jeff Schultz,Jeff Deslauriers,3,00:32,EV,,Rexall Place
655,2009-12-19,WSH,@,EDM,W,,Alex Ovechkin,24-093,242,Karl Alzner,,Jeff Deslauriers,3,06:37,EV,,Rexall Place
656,2009-12-12,WSH,@,TOR,L,,Alex Ovechkin,24-086,240,Mike Green,Tomáš Fleischmann,Vesa Toskala,1,02:00,PP,,Air Canada Centre
657,2009-12-07,WSH,@,TBL,W,,Alex Ovechkin,24-081,238,Alexander Semin,,Mike Smith,2,07:39,EV,,St. Pete Times Forum
658,2009-12-07,WSH,@,TBL,W,,Alex Ovechkin,24-081,239,Tomáš Fleischmann,Alexander Semin,Mike Smith,2,19:35,PP,,St. Pete Times Forum
659,2009-11-28,WSH,@,MTL,W,SO,Alex Ovechkin,24-072,237,Nicklas Bäckström,Alexandre Giroux,Carey Price,1,09:59,EV,,Bell Centre
660,2009-11-25,WSH,,BUF,W,,Alex Ovechkin,24-069,236,Jeff Schultz,,Ryan Miller,1,06:24,EV,,Verizon Center
661,2009-11-21,WSH,@,TOR,L,SO,Alex Ovechkin,24-065,235,Mike Green,Brooks Laich,Vesa Toskala,1,17:11,EV,,Air Canada Centre
662,2009-11-17,WSH,@,NYR,W,,Alex Ovechkin,24-061,234,Mike Green,Tomáš Fleischmann,Henrik Lundqvist,1,15:06,PP,,Madison Square Garden (IV)
663,2009-10-30,WSH,,NYI,L,OT,Alex Ovechkin,24-043,233,Mike Green,Keith Aucoin,Dwayne Roloson,1,04:41,PP,,Verizon Center
664,2009-10-29,WSH,@,ATL,W,,Alex Ovechkin,24-042,232,Nicklas Bäckström,,Ondřej Pavelec,1,14:56,EV,,Philips Arena
665,2009-10-29,WSH,@,ATL,W,,Alex Ovechkin,24-042,231,Mike Green,Brooks Laich,Ondřej Pavelec,1,10:03,PP,,Philips Arena
666,2009-10-27,WSH,,PHI,W,,Alex Ovechkin,24-040,229,Nicklas Bäckström,Jeff Schultz,Ray Emery,2,16:08,EV,,Verizon Center
667,2009-10-27,WSH,,PHI,W,,Alex Ovechkin,24-040,230,Nicklas Bäckström,Alexander Semin,,3,19:14,EV,EN,Verizon Center
668,2009-10-17,WSH,,NSH,W,SO,Alex Ovechkin,24-030,228,Brendan Morrison,Mike Knuble,Dan Ellis,1,18:15,EV,,Verizon Center
669,2009-10-17,WSH,,NSH,W,SO,Alex Ovechkin,24-030,227,Mike Green,Mike Knuble,Dan Ellis,1,05:27,PP,,Verizon Center
670,2009-10-15,WSH,,SJS,W,,Alex Ovechkin,24-028,225,Mike Knuble,Brendan Morrison,Evgeni Nabokov,2,02:55,EV,,Verizon Center
671,2009-10-15,WSH,,SJS,W,,Alex Ovechkin,24-028,226,Mike Knuble,Brendan Morrison,Evgeni Nabokov,2,03:23,EV,,Verizon Center
672,2009-10-06,WSH,@,PHI,L,OT,Alex Ovechkin,24-019,223,Matt Bradley,Nicklas Bäckström,Ray Emery,2,02:44,EV,,Wachovia Center
673,2009-10-06,WSH,@,PHI,L,OT,Alex Ovechkin,24-019,224,Nicklas Bäckström,,Ray Emery,2,07:33,EV,,Wachovia Center
674,2009-10-03,WSH,,TOR,W,,Alex Ovechkin,24-016,222,Nicklas Bäckström,Alexander Semin,Vesa Toskala,1,01:17,EV,,Verizon Center
675,2009-10-01,WSH,@,BOS,W,,Alex Ovechkin,24-014,220,Alexander Semin,Nicklas Bäckström,Tim Thomas,2,09:31,EV,,TD Garden
676,2009-10-01,WSH,@,BOS,W,,Alex Ovechkin,24-014,221,Tom Poti,Brooks Laich,Tim Thomas,3,01:57,EV,,TD Garden
677,2009-04-11,WSH,@,FLA,L,,Alex Ovechkin,23-206,219,Viktor Kozlov,Nicklas Bäckström,Tomáš Vokoun,3,13:09,EV,,BankAtlantic Center
678,2009-04-03,WSH,,BUF,L,OT,Alex Ovechkin,23-198,218,Brooks Laich,Viktor Kozlov,Ryan Miller,1,05:35,PP,,Verizon Center
679,2009-04-01,WSH,,NYI,W,,Alex Ovechkin,23-196,217,Sergei Fedorov,Mike Green,Joey MacDonald,2,05:37,EV,,Verizon Center
680,2009-03-27,WSH,,TBL,W,,Alex Ovechkin,23-191,216,Brooks Laich,,,3,19:53,EV,EN,Verizon Center
681,2009-03-27,WSH,,TBL,W,,Alex Ovechkin,23-191,215,Nicklas Bäckström,Brooks Laich,Mike McKenna,1,06:49,PP,,Verizon Center
