Rank,Date,Tm,,Opp,,,Scorer,Age,Cr. Goal #,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
132,2022-03-05,WSH,,SEA,W,,Alex Ovechkin,36-169,764,John Carlson,Nicklas Bäckström,Chris Driedger,3,00:47,PP,,Capital One Arena
133,2022-03-03,WSH,,CAR,W,,Alex Ovechkin,36-167,763,John Carlson,T.J. Oshie,Frederik Andersen,2,15:05,PP,,Capital One Arena
134,2022-02-24,WSH,@,NYR,L,,Alex Ovechkin,36-160,762,Evgeny Kuznetsov,,Igor Shesterkin,3,18:58,EV,,Madison Square Garden (IV)
135,2022-02-15,WSH,@,NSH,W,,Alex Ovechkin,36-151,760,John Carlson,Tom Wilson,Juuse Saros,3,04:33,PP,,Bridgestone Arena
136,2022-02-15,WSH,@,NSH,W,,Alex Ovechkin,36-151,761,,,,3,18:37,EV,EN,Bridgestone Arena
137,2022-01-22,WSH,,OTT,W,OT,Alex Ovechkin,36-127,759,Nicklas Bäckström,,Matt Murray,3,09:43,EV,,Capital One Arena
138,2022-01-22,WSH,,OTT,W,OT,Alex Ovechkin,36-127,758,Trevor van Riemsdyk,Evgeny Kuznetsov,Matt Murray,3,01:39,EV,,Capital One Arena
139,2022-01-18,WSH,,WPG,W,OT,Alex Ovechkin,36-123,757,Garnet Hathaway,,Connor Hellebuyck,1,16:58,EV,,Capital One Arena
140,2022-01-16,WSH,,VAN,L,,Alex Ovechkin,36-121,756,Justin Schultz,Evgeny Kuznetsov,Thatcher Demko,1,10:31,PP,,Capital One Arena
141,2022-01-15,WSH,@,NYI,W,,Alex Ovechkin,36-120,755,Evgeny Kuznetsov,Nicklas Bäckström,,3,19:49,EV,EN,UBS Arena
142,2021-12-31,WSH,@,DET,W,,Alex Ovechkin,36-105,753,Evgeny Kuznetsov,Nicklas Bäckström,Thomas Greiss,3,17:09,PP,,Little Caesars Arena
143,2021-12-31,WSH,@,DET,W,,Alex Ovechkin,36-105,754,Garnet Hathaway,John Carlson,,3,19:19,EV,EN,Little Caesars Arena
144,2021-12-17,WSH,@,WPG,W,,Alex Ovechkin,36-091,752,Daniel Sprong,John Carlson,,3,19:09,EV,EN,Canada Life Centre
145,2021-12-15,WSH,@,CHI,L,OT,Alex Ovechkin,36-089,751,T.J. Oshie,Nicklas Bäckström,Marc-André Fleury,2,03:36,PP,,United Center
146,2021-12-04,WSH,,CBJ,W,,Alex Ovechkin,36-078,750,John Carlson,,Daniil Tarasov,2,03:12,EV,,Capital One Arena
147,2021-11-28,WSH,@,CAR,W,,Alex Ovechkin,36-072,749,Dmitry Orlov,Tom Wilson,Frederik Andersen,2,11:58,EV,,PNC Arena
148,2021-11-26,WSH,,FLA,W,,Alex Ovechkin,36-070,747,Aliaksei Protas,Evgeny Kuznetsov,Spencer Knight,2,03:46,EV,,Capital One Arena
149,2021-11-26,WSH,,FLA,W,,Alex Ovechkin,36-070,748,Evgeny Kuznetsov,Tom Wilson,Sergei Bobrovsky,3,04:02,EV,,Capital One Arena
150,2021-11-26,WSH,,FLA,W,,Alex Ovechkin,36-070,746,Tom Wilson,Aliaksei Protas,Sergei Bobrovsky,2,02:50,PP,,Capital One Arena
151,2021-11-21,WSH,@,SEA,L,,Alex Ovechkin,36-065,745,Dmitry Orlov,Tom Wilson,Philipp Grubauer,3,03:09,EV,,Climate Pledge Arena
152,2021-11-20,WSH,@,SJS,W,,Alex Ovechkin,36-064,743,John Carlson,T.J. Oshie,Adin Hill,1,13:58,PP,,SAP Center at San Jose
153,2021-11-20,WSH,@,SJS,W,,Alex Ovechkin,36-064,744,Nic Dowd,,,3,18:56,EV,EN,SAP Center at San Jose
154,2021-11-12,WSH,@,CBJ,W,,Alex Ovechkin,36-056,742,Evgeny Kuznetsov,Tom Wilson,Joonas Korpisalo,1,10:19,EV,,Nationwide Arena
155,2021-11-08,WSH,,BUF,W,,Alex Ovechkin,36-052,741,Dmitry Orlov,Evgeny Kuznetsov,Dustin Tokarski,2,08:55,EV,,Capital One Arena
156,2021-11-04,WSH,@,FLA,L,OT,Alex Ovechkin,36-048,740,Lars Eller,,Spencer Knight,2,18:11,EV,,FLA Live Arena
157,2021-10-29,WSH,,ARI,W,,Alex Ovechkin,36-042,739,Evgeny Kuznetsov,John Carlson,,3,19:39,EV,EN,Capital One Arena
